Code,en,fr
NL,Newfoundland and Labrador,Terre-Neuve et Labrador
PE,Prince Edward Island,Île-du-Prince-Édouard
NS,Nova Scotia,Nouvelle-Écosse
NB,New Brunswick,Nouveau-Brunswick
QC,Quebec,Québec
ON,Ontario,Ontario
MB,Manitoba,Manitoba
SK,Saskatchewan,Saskatchewan
AB,Alberta,Alberta
BC,British Columbia,Colombie-Britannique
YU,Yukon,Yukon
YT,Yukon,Yukon
NT,Northwest Territories,Territoires du Nord-Ouest
NU,Nunavut,Nunavut
UF,Undersea Feature,Entité sous-marine
IW,International Waters,Eaux internationales
CA,,
